family,imbalance,auroc_mean,auroc_std,f1_mean,recall_mean
logreg,none,0.889375020715845,0.01807973247357442,0.8366832307651425,0.85237817899437
logreg,class_weight,0.8895921227703832,0.017848276401128734,0.8237141804026737,0.8091050281498738
logreg,smote,0.8883671652674593,0.017248886200771654,0.8192865041315232,0.8031450203843914
xgboost,none,0.8900382828813728,0.018660788493095957,0.8411231037766378,0.8641234711706465
xgboost,class_weight,0.8896208882007283,0.019083142208374815,0.8351883387910846,0.8365754222481072
xgboost,smote,0.8871603193317897,0.019623385797033665,0.8340448735523711,0.8306930693069307
