model,auroc,auroc_ci_low,auroc_ci_high,sensitivity,specificity,precision,f1,calibration_slope,calibration_intercept,best_params
Logistic Regression,0.8469137661340999,0.8415788360530191,0.8518755011311968,0.7972379158819837,0.7490262636812672,0.2483055265901981,0.37867117229041397,0.9148022344291198,-2.238568450590491,{'clf__C': 1}
XGBoost,0.8501066947004151,0.8448951799364643,0.8548526587608511,0.8166980539861896,0.733620558348021,0.24174667079591206,0.37306442362836933,0.9964381129082147,-2.2464248786963923,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 150}"
